MLBAMID,PlayerId,Name,Team,Age,Season,TBF,K%,Rk,IP,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1st%,30%,30c,30s,02%,02c,02s,02h,L/SO,S/SO,L/SO%,3pK,4pW,PAu,Pitu,Stru
552640,12828,Andrew Kittredge,TBR,31,2021,282,0.27304965,557,71.2,283,982,3.469964664310954,691,0.7040000000000001,0.221,0.242,0.266,0.271,0.779,0.0,0.5479999999999999,0.69,0.6890000000000001,0.04240282685512368,12,5,0.36042402826855124,102,65,8,8,69,0.1038961038961039,22,2,0,0,0
453192,6785,Andrew Miller,STL,36,2021,164,0.24390244,683,36.0,164,620,3.7804878048780486,400,0.645,0.3279999999999999,0.178,0.238,0.258,0.6729999999999999,0.0,0.434,0.736,0.598,0.024390243902439025,4,3,0.2682926829268293,44,30,2,9,31,0.225,7,0,0,0,0
677053,25942,Andrew Nardi,MIA,24,2023,237,0.30801688,683,57.1,237,958,4.042194092827004,629,0.657,0.2289999999999999,0.221,0.3289999999999999,0.221,0.7709999999999999,0.0,0.506,0.713,0.6459999999999999,0.06329113924050633,15,10,0.33755274261603374,80,46,5,10,63,0.136986301369863,13,3,0,0,0
681806,24933,Andrew Wantz,LAA,26,2022,204,0.25490196,1019,50.1,204,831,4.073529411764706,521,0.627,0.25,0.24,0.263,0.248,0.75,0.0,0.471,0.68,0.5589999999999999,0.06862745098039216,14,8,0.30392156862745096,62,35,3,7,45,0.1346153846153846,10,6,0,0,0
681806,24933,Andrew Wantz,LAA,27,2023,160,0.20625,998,39.1,160,659,4.11875,413,0.628,0.228,0.203,0.3,0.2689999999999999,0.772,0.0,0.484,0.737,0.631,0.06875,11,9,0.3125,50,24,2,6,27,0.18181818181818182,9,1,0,0,0
662253,20373,Andrés Muñoz,SEA,23,2022,248,0.38709677,677,65.0,248,1024,4.129032258064516,702,0.6859999999999999,0.205,0.3329999999999999,0.272,0.1889999999999999,0.795,0.0,0.545,0.581,0.6809999999999999,0.028225806451612902,7,3,0.4314516129032258,107,58,3,12,84,0.125,21,2,0,0,0
662253,20373,Andrés Muñoz,SEA,24,2023,211,0.31753555,677,49.0,212,836,3.943396226415094,547,0.654,0.267,0.289,0.23,0.214,0.733,0.0,0.48,0.606,0.58,0.05660377358490566,12,6,0.33490566037735847,71,51,7,13,54,0.19402985074626866,14,3,0,0,0
672582,22717,Angel Zerpa,KCR,23,2023,182,0.1978022,1062,42.2,182,707,3.8846153846153846,452,0.639,0.223,0.155,0.325,0.296,0.777,0.0,0.496,0.8009999999999999,0.61,0.02197802197802198,4,2,0.25824175824175827,47,25,0,11,25,0.3055555555555556,4,2,0,0,0
607455,14706,Anthony Banda,- - -,27,2021,153,0.20915033,65,66.4,306,1220,3.9869281045751634,784,0.649,0.22999999999999998,0.19399999999999995,0.294,0.2816666666666667,0.77,0.0,0.5003333333333333,0.7473333333333333,0.5533333333333332,0.0718954248366013,22,16,0.2875816993464052,88,58,4,28,36,0.4375,14,4,0,0,0
542914,7982,Anthony Bass,MIA,33,2021,260,0.22307692,80,61.1,262,959,3.6603053435114505,622,0.649,0.301,0.19,0.228,0.281,0.6990000000000001,0.0,0.4539999999999999,0.7290000000000001,0.626,0.04961832061068702,13,6,0.26717557251908397,70,35,6,13,45,0.22413793103448276,12,3,0,0,0
542914,7982,Anthony Bass,- - -,34,2022,275,0.26545455,74,139.5,552,1972,3.572463768115942,1306,0.661,0.2623333333333333,0.2396666666666666,0.221,0.27733333333333327,0.7376666666666667,0.0,0.48733333333333334,0.676,0.6626666666666666,0.03985507246376811,22,10,0.2572463768115942,142,50,0,28,118,0.1917808219178082,22,10,0,0,0
669622,19742,Anthony Bender,MIA,26,2021,247,0.28744939,96,61.1,248,973,3.9233870967741935,626,0.643,0.371,0.19,0.2,0.24,0.629,0.0,0.405,0.698,0.613,0.06048387096774194,15,7,0.3024193548387097,75,42,5,24,47,0.3380281690140845,10,5,0,0,0
